edge,execution,2023062018,bamtools/2.4.0.0-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,bcftools_annotate/1.10-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/bcftools_annotate/bcftools_annotate/1.10, exit_code: None, stderr: .
edge,output,2023062018,bcftools_annotate/1.10-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/bcftools_annotate/bcftools_annotate/1.10, exit_code: None, stderr: .
edge,execution,2023062018,bcftools_annotate/1.10-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,column_order_header_sort/0.0.1-0,failure,Output output_tabular:  different than expected, difference (using diff):
edge,execution,2023062018,deeptools_compute_gc_bias/3.3.2.0.0-0,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,kallisto_quant/0.46.0.4-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4, exit_code: None, stderr: .
edge,output,2023062018,kallisto_quant/0.46.0.4-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4, exit_code: None, stderr: .
edge,execution,2023062018,kallisto_quant/0.46.0.4-1,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,kallisto_quant/0.46.0.4-4,failure,Output pseudobam_output:  different than expected, difference (using diff):
edge,execution,2023062018,kallisto_quant/0.46.0.4-5,error,parameter 'index': an invalid option (None) was selected, please verify
edge,execution,2023062018,music_inspect_eset/0.1.1+galaxy0-2,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,ncbi_acc_download/0.2.5+galaxy0-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0, exit_code: None, stderr: .
edge,output,2023062018,ncbi_acc_download/0.2.5+galaxy0-0,failure,Output collection 'output': failed to find identifier 'CP011064' in the tool generated elements []
edge,output,2023062018,ncbi_acc_download/0.2.5+galaxy0-3,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.5+galaxy0, exit_code: None, stderr: .
edge,output,2023062018,ncbi_acc_download/0.2.5+galaxy0-3,failure,Output collection 'output': failed to find identifier 'CP011064' in the tool generated elements []
edge,output,2023062018,raceid_inspectclusters/0.2.3+galaxy2-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/raceid_inspectclusters/raceid_inspectclusters/0.2.3+galaxy2, exit_code: None, stderr: .
edge,output,2023062018,raceid_inspectclusters/0.2.3+galaxy2-1,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/raceid_inspectclusters/raceid_inspectclusters/0.2.3+galaxy2, exit_code: None, stderr: .
edge,execution,2023062018,scanpy_filter_cells/1.8.1+3+galaxy0-0,error,Input staging problem: Test input file (read_10x.h5) cannot be found.
edge,execution,2023062018,scanpy_filter_cells/1.8.1+3+galaxy0-0,error,Input staging problem: Test input file (read_10x.h5) cannot be found.
edge,output,2023062018,sniffles/1.0.12+galaxy0-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/sniffles/sniffles/1.0.12+galaxy0, exit_code: None, stderr: .
edge,output,2023062018,sniffles/1.0.12+galaxy0-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/iuc/sniffles/sniffles/1.0.12+galaxy0, exit_code: None, stderr: .
edge,execution,2023062018,sniffles/1.0.12+galaxy0-4,error,Input staging problem: Job in error state.. tool_id: upload1, exit_code: None, stderr: .
edge,output,2023062018,vcftools_annotate/0.1-0,failure,Output output:  different than expected, difference (using diff):
edge,output,2023051810,MDtag_filter/1.0.2-0,failure,Output out_sam: Test output file (test_md_filtered.sam) is missing. If you are using planemo, try adding --update_test_data to generate it.
edge,output,2023051810,MDtag_filter/1.0.2-1,failure,Output out_sam: Test output file (test_md_selected.sam) is missing. If you are using planemo, try adding --update_test_data to generate it.
edge,output,2023051810,MDtag_filter/1.0.2-1,failure,Output discarded_sam: Test output file (test_md_discarded.sam) is missing. If you are using planemo, try adding --update_test_data to generate it.
edge,output,2023051810,sam_merge2/1.2.0-0,failure,Job in error state.. tool_id: toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0, exit_code: 1, stderr: Error: Unable to access jarfile /MergeSamFiles.jar
